no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
11,TRUE,0.3,linear,nadam,100,10,19.76761818
1,TRUE,0.3,relu,nadam,100,10,34.34649939
2,TRUE,0.3,relu,nadam,100,10,21.43528923
3,TRUE,0.3,relu,nadam,100,10,20.89940914
4,TRUE,0.3,relu,nadam,100,10,13.04093213
5,TRUE,0.3,relu,nadam,100,10,16.10672363
6,TRUE,0.3,relu,nadam,100,10,12.9656105
7,TRUE,0.3,relu,nadam,100,10,19.62443668
8,TRUE,0.3,relu,nadam,100,10,12.06009795
9,TRUE,0.3,relu,nadam,100,10,20.92056312
10,TRUE,0.3,relu,nadam,100,10,14.37459306
11,TRUE,0.3,relu,nadam,100,10,20.20711869
1,TRUE,0.3,tanh,nadam,100,10,26.59943671
2,TRUE,0.3,tanh,nadam,100,10,25.56311497
3,TRUE,0.3,tanh,nadam,100,10,11.1556017
4,TRUE,0.3,tanh,nadam,100,10,18.75576486
5,TRUE,0.3,tanh,nadam,100,10,11.93964808
6,TRUE,0.3,tanh,nadam,100,10,16.13230535
7,TRUE,0.3,tanh,nadam,100,10,15.46389771
8,TRUE,0.3,tanh,nadam,100,10,13.08135841
9,TRUE,0.3,tanh,nadam,100,10,18.01747202
10,TRUE,0.3,tanh,nadam,100,10,24.97450166
11,TRUE,0.3,tanh,nadam,100,10,14.71491327
1,TRUE,0.3,sigmoid,nadam,100,10,27.67249619
2,TRUE,0.3,sigmoid,nadam,100,10,19.83020702
3,TRUE,0.3,sigmoid,nadam,100,10,14.91699781
4,TRUE,0.3,sigmoid,nadam,100,10,12.49960207
5,TRUE,0.3,sigmoid,nadam,100,10,16.70149075
6,TRUE,0.3,sigmoid,nadam,100,10,16.9724105
7,TRUE,0.3,sigmoid,nadam,100,10,17.41330358
8,TRUE,0.3,sigmoid,nadam,100,10,12.81176452
9,TRUE,0.3,sigmoid,nadam,100,10,17.14608453
10,TRUE,0.3,sigmoid,nadam,100,10,23.18762724
